,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
0,TEXAS,4800001,CROSBYTON CISD,365,False,0.10136986301369863,crosby,crosby,0.74,CROSBY,60382.0,"Crosby Independent School District / 27,185",CROSBY
1,TEXAS,4800002,SPUR ISD,261,False,0.10727969348659004,dickens,dickens,0.865,SPUR,37356.0,"Spur Independent School District / 1,935",SPUR
2,TEXAS,4800003,ROCKSPRINGS ISD,313,False,0.07667731629392971,edwards,edwards,0.85,ROCKSPRINGS,41429.0,"Rocksprings Independent School District / 1,711",ROCKSPRINGS
3,TEXAS,4800004,POR VIDA ACADEMY,273,False,0.09157509157509157,bexar,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
4,TEXAS,4800005,BLACKWELL CISD,155,False,0.12903225806451613,mitchell,mitchell,0.855,BLACKWELL CONSOLIDATED,46944.0,Blackwell Consolidated Independent School District / 998,BLACKWELL CONSOLIDATED
5,TEXAS,4800006,ASPERMONT ISD,456,False,0.08771929824561403,stonewall,stonewall,0.8300000000000001,ASPERMONT,42232.0,"Aspermont Independent School District / 1,364",ASPERMONT
6,TEXAS,4800007,PANTHER CREEK CISD,174,False,0.10919540229885058,coleman,coleman,0.895,CLEAR CREEK,81718.0,"Clear Creek Independent School District / 220,949",CLEAR CREEK
7,TEXAS,4800008,DRIPPING SPRINGS ISD,6414,False,0.06470221390707827,hays,hays,-0.54,DRIPPING SPRINGS,107413.0,"Dripping Springs Independent School District / 24,679",DRIPPING SPRINGS
8,TEXAS,4800009,WIMBERLEY ISD,2438,False,0.06783429040196882,hays,hays,-0.54,WIMBERLEY,69146.0,"Wimberley Independent School District / 12,149",WIMBERLEY
9,TEXAS,4800010,HAYS CISD,19831,False,0.061837527104029046,hays,hays,-0.54,HAYS CONSOLIDATED,71523.0,"Hays Consolidated Independent School District / 75,485",HAYS CONSOLIDATED
10,TEXAS,4800011,ALVARADO ISD,3708,False,0.06094929881337648,johnson,johnson,0.78,ALVARADO,56409.0,"Alvarado Independent School District / 17,906",ALVARADO
11,TEXAS,4800012,CHISUM ISD,954,False,0.07756813417190776,lamar,lamar,0.8,CHISUM,47344.0,"Chisum Independent School District / 3,418",CHISUM
12,TEXAS,4800014,GEORGE GERVIN ACADEMY,1389,False,0.04542836573074154,bexar,bexar,-0.5700000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
13,TEXAS,4800016,TEXANS CAN ACADEMIES,5811,False,0.05361727757700912,dallas,dallas,-0.63,MILES,47273.0,"Miles Independent School District / 2,221",MILES
14,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,1110,False,0.057999999999999996,harris,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART
15,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,856,False,0.06425233644859812,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
16,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,916,False,0.05817685589519651,harris,harris,-0.54,HART,43523.0,"Hart Independent School District / 1,534",HART
17,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1287,False,0.056487956487956494,harris,harris,-0.54,,,,
18,TEXAS,4800024,WACO CHARTER SCHOOL,215,False,0.07441860465116279,mclennan,mclennan,0.65,HART,43523.0,"Hart Independent School District / 1,534",HART
