County Name,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
Alachua County,0.09837755146013187,0.5352176910812014,0.12263527586652685,0.07332260798368215,0.04615970237154718
Baker County,0.02261226511907711,0.6677164797055806,0.1312856081248452,0.09582787784422662,0.011536147775929793
Bay County,0.06578166377499772,0.6314206465162999,0.06540498584604146,0.12429230207287005,0.02685827778285088
Bradford County,0.005158463767091828,0.5934353248772215,0.027205596579867857,0.21556018796594,0.053209907076988305
Brevard County,0.18115038937574596,0.5786845627847783,0.0903839686653083,0.03452948507447924,0.022404766143762404
Broward County,0.18925053037608486,0.5561067180970749,0.09884924461587914,0.03928460302153648,0.006722982963677274
Calhoun County,0.013188745603751465,0.0,0.009525205158264946,0.11891852286049238,0.025131887456037515
Charlotte County,0.2647995418711566,0.5204579147644864,0.0753022526452124,0.016564354792958945,0.02580185927523589
Citrus County,0.17491858583100953,0.6278803715476167,0.03426870250840142,0.044727416912046694,0.013370774100869069
Clay County,0.12996403124928407,0.03350470387267568,0.07515406996723865,0.1139453366629247,0.014570780544800568
Collier County,0.3583134620707275,0.38366262854223,0.07677936511315975,0.04951404117609487,0.01860269539483489
Columbia County,0.030675198714453785,0.4308158053315734,0.2705959998852191,0.14432264914344745,0.019326236046945392
DeSoto County,0.05636331528137509,0.6621732987991523,0.030904167647751352,0.10713444784553802,0.034700965387332236
Dixie County,0.014917357837579808,0.7932454203711439,0.0,0.10561489349006505,0.023629094814726415
Duval County,0.13516317836971295,-0.5216457529476057,0.21555153997671678,0.11703180197816923,0.01675125832816877
Escambia County,0.08302760131094578,0.4658672589739209,0.19213743185101195,0.09184386697938833,0.03855485313990152
Flagler County,0.24023644022257276,0.5524190053563072,0.08883842673646622,0.03380193797777739,0.010201251538421536
Franklin County,0.025700746927957593,0.0,0.2361256124006104,0.05332904987551201,0.04071962091398281
Gadsden County,0.04944553461415598,0.41815360744763386,0.127093506137909,0.08923926436361977,0.030256012412723042
Gilchrist County,0.013994626063591581,0.7340461262875055,0.0,0.18148231079265562,0.006045678459471563
Glades County,0.05921161141349167,0.4075540161636154,0.3711034141514102,0.11281543790202869,0.017318159327065808
Gulf County,0.037485907553551294,0.2442220969560316,0.3452649379932356,0.1903889515219842,0.06912344983089064
Hamilton County,0.005355612682090831,0.19090728221585362,0.0057126535275635534,0.15588403313339047,0.014138817480719794
Hardee County,0.16764717495163264,0.35870809807715087,0.07517668890906937,0.23563785683262922,0.01279267185217357
Hendry County,0.17337641030818546,0.5891617658194301,0.08405058179156466,0.04326207122845099,0.00903606855296701
