Median Household Income,School District
"$182,609","Highland Park Independent School District / 34,043"
"$169,401","Carroll Independent School District / 29,265"
"$131,250","London Independent School District / 1,660"
"$127,991","Eanes Independent School District / 36,986"
"$117,541","Coppell Independent School District / 46,020"
"$111,131","Lovejoy Independent School District / 13,644"
"$107,413","Dripping Springs Independent School District / 24,679"
"$106,542","Friendswood Independent School District / 26,269"
"$106,143","Argyle Independent School District / 8,528"
"$105,938","Prosper Independent School District / 19,288"
"$105,145","Aledo Independent School District / 22,235"
"$104,105","Frisco Independent School District / 184,480"
"$101,059","Allen Independent School District / 89,748"
"$100,517","Sunnyvale Independent School District / 5,480"
"$98,571","Lake Travis Independent School District / 39,224"
"$92,917",Klondike Independent School District / 742
"$91,754","Katy Independent School District / 283,381"
"$91,052","Pearland Independent School District / 96,855"
"$91,024","Keller Independent School District / 160,923"
"$90,667","Melissa Independent School District / 6,858"
"$90,421","Tomball Independent School District / 63,023"
"$90,357","Randolph Field Independent School District / 1,166"
"$89,907","Rockwall Independent School District / 68,194"
"$88,539","Barbers Hill Independent School District / 15,920"
"$88,052","Celina Independent School District / 9,170"
"$87,912","Northwest Independent School District / 83,165"
"$87,754","Wylie Independent School District / 60,607"
"$87,680","Boerne Independent School District / 37,232"
"$87,616","Greenwood Independent School District / 7,885"
"$86,250",Grandview-Hopkins Independent School District / 101
"$85,954","Forney Independent School District / 33,296"
"$85,112","Grapevine-Colleyville Independent School District / 77,893"
"$84,809","Midlothian Independent School District / 34,031"
"$84,665","La Vernia Independent School District / 14,619"
"$84,118","Lindsay Independent School District / 2,167"
"$83,125","Humble Independent School District / 181,307"
"$82,834","Lewisville Independent School District / 282,084"
"$82,816","Mansfield Independent School District / 147,548"
"$82,717","Peaster Independent School District / 4,102"
"$81,974","Salado Independent School District / 6,671"
"$81,952","Fort Bend Independent School District / 368,856"
"$81,882","Leander Independent School District / 159,550"
"$81,718","Clear Creek Independent School District / 220,949"
"$81,563","Glasscock County Independent School District / 1,190"
"$80,796","Alamo Heights Independent School District / 28,795"
"$80,602","Lubbock-Cooper Independent School District / 25,250"
"$80,595","Montgomery Independent School District / 37,223"
"$80,311","Aubrey Independent School District / 9,104"
"$79,257","Bushland Independent School District / 6,083"
"$79,205","Nursery Independent School District / 1,708"
"$79,188","Liberty Hill Independent School District / 11,715"
"$79,179","Krum Independent School District / 7,756"
"$78,957","Plano Independent School District / 336,230"
"$78,895","Calallen Independent School District / 20,387"
"$78,525","McKinney Independent School District / 118,631"
"$78,344","Klein Independent School District / 232,190"
"$77,941","Gunter Independent School District / 3,042"
"$77,202","Lake Dallas Independent School District / 23,164"
"$76,995","Brock Independent School District / 4,373"
"$76,786",Grady Independent School District / 658
"$76,329","Lago Vista Independent School District / 9,030"
"$76,319","Royse City Independent School District / 20,577"
"$76,291","Kennedale Independent School District / 19,358"
"$76,094",Coupland Independent School District / 887
"$76,042",Kelton Independent School District / 175
"$76,019","Wylie Independent School District / 18,173"
"$75,334","Lamar Consolidated Independent School District / 133,515"
"$75,256","Schertz-Cibolo-Universal City Independent School District / 65,003"
"$75,114","Danbury Independent School District / 5,091"
"$75,042","Little Elm Independent School District / 32,679"
"$75,000",Borden County Independent School District / 679
"$75,000","Lorena Independent School District / 8,539"
"$74,892","Comal Independent School District / 105,453"
"$74,819","Round Rock Independent School District / 253,508"
"$74,571","Forsan Independent School District / 2,633"
"$73,969","Hutto Independent School District / 25,947"
"$73,571",Divide Independent School District / 131
"$73,422","Community Independent School District / 9,743"
"$72,945","Eagle Mountain-Saginaw Independent School District / 86,779"
"$72,841","Industrial Independent School District / 4,463"
"$72,800","Crandall Independent School District / 12,288"
"$72,478","Deer Park Independent School District / 52,097"
"$72,468","La Porte Independent School District / 42,070"
"$72,402","Cypress-Fairbanks Independent School District / 525,367"
"$72,361","Forestburg Independent School District / 1,088"
"$72,098","Caddo Mills Independent School District / 6,104"
"$71,908","Ponder Independent School District / 5,779"
"$71,860","Conroe Independent School District / 281,377"
"$71,696","Magnolia Independent School District / 58,406"
"$71,650","Holliday Independent School District / 4,884"
"$71,523","Hays Consolidated Independent School District / 75,485"
"$71,329","Red Oak Independent School District / 26,275"
"$70,982","Pleasant Grove Independent School District / 12,408"
"$70,893",Sivells Bend Independent School District / 466
"$70,833",Buena Vista Independent School District / 444
"$70,625","China Spring Independent School District / 12,615"
"$70,587","Robinson Independent School District / 10,945"
"$70,268","Meyersville Independent School District / 1,367"
"$70,083","Red Lick Independent School District / 2,422"
"$69,625",Miami Independent School District / 768
"$69,500","Burleson Independent School District / 55,866"
"$69,491","Christoval Independent School District / 2,511"
"$69,167","Midway Independent School District / 41,455"
"$69,146","Wimberley Independent School District / 12,149"
"$68,319","Georgetown Independent School District / 67,472"
"$67,679",Boys Ranch Independent School District / 77
"$67,436","Blanco Independent School District / 7,194"
"$67,363","Van Alstyne Independent School District / 6,876"
"$67,292","Wall Independent School District / 3,591"
"$67,250","Iola Independent School District / 3,045"
"$66,790","Alvin Independent School District / 94,642"
"$66,586","Pflugerville Independent School District / 127,106"
"$66,548","Slidell Independent School District / 2,268"
"$66,477","Falls City Independent School District / 2,013"
"$66,288","Huffman Independent School District / 14,177"
"$66,176","Tom Bean Independent School District / 4,626"
"$66,071",Pringle-Morse Consolidated Independent School District / 510
"$66,044","Cedar Hill Independent School District / 46,851"
"$66,007","Midland Independent School District / 138,502"
"$65,750","Valley View Independent School District / 2,757"
"$65,625","Hardin-Jefferson Independent School District / 9,507"
"$65,625",Hubbard Independent School District / 712
"$65,625",Walcott Independent School District / 176
"$65,386","Canyon Independent School District / 53,306"
"$65,287","Sanger Independent School District / 13,941"
"$65,245","Orangefield Independent School District / 7,809"
"$65,129","Mildred Independent School District / 3,264"
"$65,102","Anna Independent School District / 11,628"
"$65,000","Navarro Independent School District / 7,100"
"$64,982","Santa Fe Independent School District / 25,265"
"$64,911","Hamshire-Fannett Independent School District / 8,697"
