,LEA_STATE_NAME,LEAID,LEA_NAME,County Name,banned_books,LEA_ENR,SCH_FTETEACH_TOT,overall_TPI,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB,Median Household Income,number_bans
0,TEXAS,4800001,CROSBYTON CISD,crosby,FALSE,365,0.101369863,0.74,6.849315068,,0,0,0,0,60382,
1,TEXAS,4800002,SPUR ISD,dickens,FALSE,261,0.107279693,0.865,13.02681992,,0,0,0,0,37356,
2,TEXAS,4800003,ROCKSPRINGS ISD,edwards,FALSE,313,0.076677316,0.85,5.111821086,,0,0,0,0,41429,
3,TEXAS,4800004,POR VIDA ACADEMY,bexar,FALSE,273,0.091575092,-0.57,0,,0,0,0,0,62772,
4,TEXAS,4800005,BLACKWELL CISD,mitchell,FALSE,155,0.129032258,0.855,0,,0,0,0,0,46944,
5,TEXAS,4800006,ASPERMONT ISD,stonewall,FALSE,456,0.087719298,0.83,3.947368421,2.192982456,0,0,0,0,42232,
6,TEXAS,4800007,PANTHER CREEK CISD,coleman,FALSE,174,0.109195402,0.895,7.471264368,,0,0,0,0,81718,
7,TEXAS,4800008,DRIPPING SPRINGS ISD,hays,FALSE,6414,0.064702214,-0.54,7.811038354,9.993763642,0,0,0,0,107413,
8,TEXAS,4800009,WIMBERLEY ISD,hays,FALSE,2438,0.06783429,-0.54,6.480721903,13.12551272,0,0,0,0,69146,
9,TEXAS,4800010,HAYS CISD,hays,FALSE,19831,0.061837527,-0.54,4.921587414,8.143815239,1.295950784,0,0,0,71523,
10,TEXAS,4800011,ALVARADO ISD,johnson,FALSE,3708,0.060949299,0.78,4.180151025,2.535059331,0.026968716,0,0,0,56409,
11,TEXAS,4800012,CHISUM ISD,lamar,FALSE,954,0.077568134,0.8,5.34591195,,0,0,0,0,47344,
12,TEXAS,4800014,GEORGE GERVIN ACADEMY,bexar,FALSE,1389,0.045428366,-0.57,0.07199424,,0,0,0,0,62772,
13,TEXAS,4800016,TEXANS CAN ACADEMIES,dallas,FALSE,5811,0.053617278,-0.63,3.063156083,,0,0,0,0,47273,
14,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,harris,FALSE,1110,0.058,-0.54,,,0,0,0,0,43523,
15,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,harris,FALSE,856,0.064252336,-0.54,3.037383178,,0,0,0,0,62772,
16,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,harris,FALSE,916,0.058176856,-0.54,0,,0.109170306,0,0,0,43523,
17,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,harris,FALSE,1287,0.056487956,-0.54,0,3.263403263,0,0,0,0,,
18,TEXAS,4800024,WACO CHARTER SCHOOL,mclennan,FALSE,215,0.074418605,0.65,,,0,0,0,0,43523,
19,TEXAS,4800025,DR M L GARZA-GONZALEZ CHARTER SCHOOL,nueces,FALSE,168,0.083333333,0.52,0,,0,0,0,0,57083,
20,TEXAS,4800029,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,dallas,FALSE,668,0.065868263,-0.63,2.694610778,0.898203593,0,0,0,0,55450,
21,TEXAS,4800030,UPLIFT EDUCATION,dallas,FALSE,17352,0.064761987,-0.63,7.65329645,12.263716,0.31120332,0,0,0,,
22,TEXAS,4800031,UNIVERSITY OF HOUSTON CHARTER SCHOOL,harris,FALSE,126,0.055555556,-0.54,,,0,0,0,0,46069,
