,LEAID,LEA_NAME,LEA_STATE_NAME,Title,Author,Type of Ban,Date of Challenge/Removal,Origin of Challenge,Series Name,Ban Status
0,1200930,INDIAN RIVER,FLORIDA,Ace of Spades,"Àbíké-Íyímídé, Faridah",Banned in Libraries and Classrooms,Nov-21,Administrator,,
1,4205490,Central York SD,PENNSYLVANIA,Clap When You Land,"Acevedo, Elizabeth",Banned in Classrooms,Aug-21,Administrator,,
2,1200930,INDIAN RIVER,FLORIDA,The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Nov-21,Administrator,,
3,3618570,MARLBORO CENTRAL SCHOOL DISTRICT,NEW YORK,The Poet X,"Acevedo, Elizabeth",Banned in Libraries and Classrooms,Feb-22,Administrator,,
4,4819840,FREDERICKSBURG ISD,TEXAS,The Poet X,"Acevedo, Elizabeth",Banned Pending Investigation,Mar-22,Administrator,,
5,5102610,NEW KENT CO PBLC SCHS,VIRGINIA,The Poet X,"Acevedo, Elizabeth",Banned in Libraries,Oct-21,Administrator,,
6,5103640,SPOTSYLVANIA CO PBLC SCHS,VIRGINIA,Call Me By Your Name (Call Me By Your Name Series),"Aciman, André",Banned Pending Investigation,Nov-21,Administrator,,
7,1200930,INDIAN RIVER,FLORIDA,"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc",Banned Pending Investigation,Nov-21,Administrator,,
8,1200480,DUVAL,FLORIDA,My Name Is María Isabel,"Ada, Alma Flor",Banned Pending Investigation,Jan-22,Administrator,,
9,1200480,DUVAL,FLORIDA,Time to Pray,"Addasi, Maha",Banned Pending Investigation,Jan-22,Administrator,,
10,4825170,KATY ISD,TEXAS,Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi",Banned Pending Investigation,Jan-22,Administrator,,
11,4205490,Central York SD,PENNSYLVANIA,"47,000 Beads","Adeyoha, Koja",Banned in Classrooms,Aug-21,Administrator,,
12,2618840,Hudsonville Public School District,MICHIGAN,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",Banned in Classrooms,Jan-22,Formal Challenge,,
13,4700149,Collierville,TENNESSEE,Cool for the Summer,"Adler, Dahlia",Banned Pending Investigation,Feb-22,Administrator,,
14,4832940,NORTH EAST ISD,TEXAS,The Accidental Adventures of India McAllister,"Agell, Charlotte",Banned in Libraries,Dec-21,Administrator,,
15,4700149,Collierville,TENNESSEE,How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Feb-22,Administrator,,
16,4832940,NORTH EAST ISD,TEXAS,How It All Blew Up,"Ahmadi, Arvin",Banned Pending Investigation,Dec-21,Administrator,,
17,4205490,Central York SD,PENNSYLVANIA,Mae Among the Stars,"Ahmed, Roda",Banned in Classrooms,Aug-21,Administrator,,
18,2802790,MADISON CO SCHOOL DIST,MISSISSIPPI,"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Apr-22,Administrator,,
19,5515780,Waukesha School District,WISCONSIN,"Love, Hate & Other Filters","Ahmed, Samira",Banned in Libraries,Dec-21,Administrator,,
20,4205490,Central York SD,PENNSYLVANIA,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned in Classrooms,Aug-21,Administrator,,
21,4832940,NORTH EAST ISD,TEXAS,Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Banned Pending Investigation,Dec-21,Administrator,,
